smiles,Fu_final,lgFu,Fu_train_test
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,1,-0.000000002,test
NC(=O)NO,1,-0.000000002,test
O=P1(NCCCl)OCCCN1CCCl,1,-0.000000002,train
CN(C)C(=N)NC(=N)N,1,-0.000000002,train
CN(C)C(=O)Oc1ccc[n+](C)c1,1,-0.000000002,train
CN[C@@H](C)[C@@H](O)c1ccccc1,1,-0.000000002,test
C=CC(=O)NCNC(=O)C=C,1,-0.000000002,train
CCOCCOCCOCCO,1,-0.000000002,train
O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,1,-0.000000002,train
C[C@@H]1O[C@@H]1P(=O)(O)O,1,-0.000000002,train
O=C1NC2C=CC(Cl)=CC=2C(C#CC2=CC=CC=N2)(N1)C1CC1,1,-0.000000002,train
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,1,-0.000000002,test
ON=C(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,1,-0.000000002,train
OCCN1C(=O)C(N=C(c2cc3c([nH]2)c(c(s3)Cl)Cl)O)Cc2c1cccc2,1,-0.000000002,train
CSCCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,1,-0.000000002,train
O=C1C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c(N1C)cccc2,1,-0.000000002,train
O=C(NC1CN2CCC1CC2)C1C=CC2OCCOC=2C=1,1,-0.000000002,train
OC(=NCc1cc(=O)c(cn1O)O)NC[C@@H]1[C@H](N=C(/C(=N\OC(C(=O)O)(C)C)/c2csc(=N)[nH]2)O)C(=O)N1S(=O)(=O)O,1,-0.000000002,train
COC(=O)CCC(=O)OC,0.999942975,-0.0000248,train
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.999,-0.000434512,test
CCC(=O)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.999,-0.000434512,train
OC[C@@H](CN1C(=O)C(N=C(c2cc3c([nH]2)c(c(s3)Cl)Cl)O)Cc2c1cccc2)O,0.999,-0.000434512,train
OCCN1C(=O)C(N=C(c2cc3c([nH]2)ccc(c3)Cl)O)Cc2c1cccc2,0.999,-0.000434512,train
N#CCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.999,-0.000434512,train
CCC(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.999,-0.000434512,train
OC1=Nc2ccccc2CC1NC(=O)c1cc2c([nH]1)sc(c2)Cl,0.999,-0.000434512,train
CN(C(=O)Cn1c(c2ccccc2)c(c2c1cc(cc2)C(=O)N(S(=O)(=O)Cc1ccccc1)C)C1CCCCC1)C,0.999,-0.000434512,train
O[C@H]1[C@@H](CC[C@H]1O)n1cnc2c1c(F)c[nH]c2=N,0.999,-0.000434512,train
CC(O)C(=O)NC1C(I)=C(C(I)=C(C=1I)C(=O)NC(CO)CO)C(=O)NC(CO)CO,0.99875,-0.000543208,train
NC1=NC(=O)N(C=N1)C1CC(O)C(CO)O1,0.99875,-0.000543208,train
OCC(CN1C(=O)C(N=C(c2cc3c([nH]2)c(c(s3)Cl)Cl)O)Cc2c1cccc2)CO,0.998,-0.000869459,train
