smiles,pKa_Acidic,pKaAcidic_train_test
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,-4.37,train
Cc1ccccc1C(=O)N1CC/C(=N\OS(=O)(=O)O)c2ccc(Cl)cc21,-4.3,test
Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,-4.14,train
O=P([O-])([N+]1(CCCl)CC1)[N+]1(CCCl)CC1,-4.05,train
Cc1c(S(=O)(=O)[O-])oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,-3.91,train
Cc1cc(-c2ccc(/N=N/c3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1/N=N/c1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O,-3.9,train
CCOc1ccc(S(=O)(=O)O)c2cccnc12,-3.76,train
CCOc1ccc(S(=O)(=O)[O-])c2cccnc12,-3.76,train
Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c2c1O,-3.48,train
O=S(=O)(O)c1cc(O)c(S(=O)(=O)O)cc1O,-3.47,train
O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,-3.44,train
O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21,-3.44,train
O=S(=O)(O)c1ccc2c(/N=N/c3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,-3.35,train
O=S(=O)([O-])c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1,-3.24,test
O=S(=O)(O)c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)cc(S(=O)(=O)O)cc2c1,-3.24,train
O=[N+]([O-])c1ccc(/N=N/c2c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)ccc3c2O)c([N+](=O)[O-])c1,-3.19,train
Nc1cc(N2CCCCC2)nc(N)[n+]1OS(=O)(=O)[O-],-3.04,train
Cc1cc(=O)oc2cc(OS(=O)(=O)O)c(OS(=O)(=O)O)cc12,-2.98,train
O=S(=O)(O)c1cc(S(=O)(=O)O)c2nc(-c3ccc(-c4nc5c(S(=O)(=O)O)cc(S(=O)(=O)O)cc5[nH]4)cc3)[nH]c2c1,-2.88,test
O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1,-2.88,train
O=S(=O)([O-])c1cc(S(=O)(=O)O)cc2[nH]c(-c3ccc(-c4nc5c(S(=O)(=O)[O-])cc(S(=O)(=O)O)cc5[nH]4)cc3)nc12,-2.88,train
CC(C)(C)[N+]([O-])=Cc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O,-2.87,train
CC(C)(C)/[N+]([O-])=C/c1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-].[Na+].[Na+],-2.87,train
O=C(O)c1cc(S(=O)(=O)O)ccc1O,-2.81,train
CCNCC.O=S(=O)(O)c1cc(O)ccc1O,-2.78,train
O=S(=O)(O)c1cc(O)ccc1O,-2.78,train
Cc1ccc(S(=O)(=O)Oc2ccc(O)c(S(=O)(=O)O)c2)cc1,-2.78,train
Cc1cc(O)c(S(=O)(=O)O)cc1Cc1cc(S(=O)(=O)O)c(O)cc1C,-2.76,train
O=S([O-])S(=O)(=O)[O-],-2.72,test
O=S(O)S(=O)(=O)O,-2.72,train
O=S(=O)(O)c1ccc(O)cc1,-2.59,train
O=S(=O)([O-])c1ccc(O)cc1,-2.59,train
COc1cc(S(=O)(=O)O)ccc1O,-2.58,train
COc1cc(S(=O)(=O)[O-])ccc1O,-2.58,train
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)c1cccc(S(=O)(=O)[O-])c1,-2.52,test
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)c1cccc(S(=O)(=O)O)c1,-2.52,train
CC1=C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2C[C@@H](C)[C@]3(O)C(=O)COC(=O)c2cccc(S(=O)(=O)O)c2)[C@@]2(C)Cc3cnn(-c4ccccc4)c3C=C12,-2.52,train
Cc1cc(OS(=O)(=O)O)c2ccccc2c1OS(=O)(=O)O,-2.51,test
Cc1cc(OS(=O)(=O)[O-])c2ccccc2c1OS(=O)(=O)[O-],-2.51,train
CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1,-2.51,train
O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1,-2.49,test
O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,-2.49,train
COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O,-2.42,train
Cc1cccc2c1NC(=O)C2(c1ccc(OS(=O)(=O)O)cc1)c1ccc(OS(=O)(=O)O)cc1,-2.42,train
NS(=O)(=O)c1cc(S(=O)(=O)O)c(NCc2ccco2)cc1Oc1ccccc1,-2.39,train
NC1=N[C@H](c2nnc([C@@H]3CC4(CC4)[C@@H]4CN3C(=O)N4OS(=O)(=O)O)o2)CN1,-2.33,train
CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1,-2.26,test
NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,-2.1,train
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-2.09,train
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,-1.98,train
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-],-1.98,train
O=S(=O)(O)CCCS(=O)(=O)O,-1.97,test
O=S(=O)([O-])CCCS(=O)(=O)[O-],-1.97,train
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,-1.97,train
O=C(NNC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O)[C@@H]1CCCNC1,-1.97,train
O=S(=O)(O)C(I)I,-1.95,train
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](OS(=O)(=O)O)C[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-1.95,train
CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,-1.94,train
CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)[O-])[C@@H]1C(N)=O,-1.94,train
CCCC[C@]1(CC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2cccc(NC(=O)N[C@@H]3O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3O)c2)[C@H]1O,-1.89,train
CCCC[C@]1(CC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2cccc(NC(=O)N[C@@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](OCc4ccccc4)[C@H]3O)c2)[C@H]1O,-1.89,train
O=S(=O)(c1ccc(NC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)S(=O)(=O)O)cc1)c1ccc(NC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)S(=O)(=O)O)cc1,-1.85,train
COc1ccc(NS(=O)(=O)c2ccc(NC(c3c(C)n(C)n(-c4ccccc4)c3=O)S(=O)(=O)O)cc2)nn1,-1.84,train
O=S(=O)(O)CI,-1.81,train
O=S(=O)([O-])CI,-1.81,train
CCOc1cc(C(Nc2ncc(Cc3cc(OC)c(OC)c(OC)c3)c(N)n2)S(=O)(=O)O)ccc1O,-1.78,train
CC(C)(CS(=O)(=O)O)N(Cl)Cl,-1.78,train
CC(C)(CS(=O)(=O)[O-])N(Cl)Cl,-1.78,train
O=S(=O)([O-])CCSSCCS(=O)(=O)[O-],-1.76,test
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)[O-])cc4CC[C@H]3[C@@H]1CCC2=O,-1.75,test
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,-1.75,train
C1CNCCN1.C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,-1.75,train
Cc1ccc(N2CCNCC2)c(S(=O)(=O)O)c1,-1.72,train
O=C([O-])C1=C(C[n+]2ccc(CCS(=O)(=O)[O-])cc2)CS[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3nc[nH]c3C(=O)O)c3ccccc3)C(=O)N12,-1.63,train
CCCSc1ccc([N+](=O)[O-])c(N/C(=N/CCS(=O)(=O)O)NC(=O)OC)c1,-1.62,test
NS(=O)(=O)c1ccc(NCS(=O)(=O)O)cc1,-1.62,test
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-1.61,test
