smiles,pKa_Basic,pKaBasic_train_test
O=[N+]([O-])c1nccn1CC(O)C[18F],0,test
COCC(O)Cn1ccnc1[N+](=O)[O-],0,train
O=P1(N(CCCl)CCCl)NC(OO)CCO1,0,train
CS(=O)(=O)OCCNP1(=O)OCCCN1CCCl,0,train
O=[N+]([O-])c1nccn1CC(O)CF,0,train
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)CCC(=O)O)CC3)cc21,0.01,train
O=P1(N(CCCl)CCCl)NC(O)CCO1,0.01,train
O=P1(N(CCCl)CCCl)NCCCO1,0.02,test
O=P1(NCCCl)OCCCN1CCCl,0.02,train
COc1cc(C(Nc2ccc(S(N)(=O)=O)cc2)Nc2ccc(S(N)(=O)=O)cc2)ccc1O,0.02,train
O=C(O)c1ccc[n+]([O-])c1,0.03,train
Cc1cc(C2=NO[C@@](c3cc(Cl)c(Cl)c(Cl)c3)(C(F)(F)F)C2)sc1C(=O)NCC(=O)NCC(F)(F)F,0.03,train
O=[N+]([O-])c1nccn1COC(CO)C(O)CO,0.04,train
NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,0.04,train
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O,0.05,train
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0.06,test
CCOC(=O)c1ccc(N(CC(C)O)CC(C)O)cc1,0.06,test
O=P1(N(CCCl)CCCl)NC(SCCS(=O)(=O)O)CCO1,0.06,train
CC[N+](C)(C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OCF)c3nsc(N)n3)[C@H]2SC1)CC(N)=O,0.07,train
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CSC12)c1nsc(N)n1,0.07,train
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)C2CCC3C2)c1,0.08,train
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,0.08,train
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCC3)c1,0.08,train
COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,0.08,train
CC(C(=O)O)c1ccc(Oc2nccs2)cc1,0.08,train
CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,0.08,train
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,0.08,train
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,0.09,train
COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,0.09,train
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0.1,test
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C(c2ccccc2)c2ccccc21,0.1,train
CS(=O)(=O)Nc1ccc(C(=O)O[C@@H](Cc2c(Cl)c[n+]([O-])cc2Cl)c2ccc(OC(F)F)c(OCC3CC3)c2)cc1OCC1CC1,0.1,train
CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cccc3)cc21,0.11,train
Cc1occc1C(=O)Nc1nn(Cc2ccc(C(F)(F)F)cc2)c2ccccc12,0.11,train
C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,0.12,train
COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,0.13,train
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1,0.15,train
O=P1(N(CCCl)CCCl)OCCCN1CCCl,0.15,train
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,0.16,test
Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)[O-])N4C(=O)[C@@H](NC(=O)/C(=N/O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1,0.17,train
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,0.18,train
O=C(CNC(=O)c1sc(C2=NO[C@@](c3cc(Cl)c(F)c(Cl)c3)(C(F)(F)F)C2)c2c1CCC2)NCC(F)F,0.18,train
COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,0.19,train
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,0.19,train
COCc1nn2c(CN3C[C@@H](CC(F)(F)Cl)CC3=O)c(C(F)(F)F)nc2s1,0.19,train
O=C(Cn1ccnc1[N+](=O)[O-])NCCO,0.2,train
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0.2,train
Nc1nc2c(ncn2/C=C2/CC2(CO)CO)c(=O)[nH]1,0.2,train
CCc1nc2ccccc2c(=O)n1-c1c(Cl)cccc1Cl,0.21,train
CC1(C)S[C@@H]2[C@H](NC(=O)c3nc4ccccc4nc3C(=O)O)C(=O)N2[C@H]1C(=O)O,0.21,train
O=S(=O)(O)c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)cc(S(=O)(=O)O)cc2c1,0.22,train
O=S(=O)([O-])c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1,0.22,train
CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,0.22,train
CCN(CC)C(=O)[C@@H]1[C@@H](C(=O)N(CC)CC)[C@H]2C=C[C@@H]1C2,0.22,train
O=P(NCCCO)(OCCCl)N(CCCl)CCCl,0.23,test
O=C(NCCc1ccc(O)c(O)c1)C12CC3CC(CC(C3)C1)C2,0.23,train
Cc1c(-c2cnccn2)ssc1=S,0.23,train
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)[C@H]3SC2)s1,0.24,test
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,0.24,train
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.24,train
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,0.24,train
C[C@@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)CC[C@H]1O,0.24,train
COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,0.24,train
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,0.25,test
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0.25,train
