smiles,Fu_final,lgFu,Fu_train_test,scaffold
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,1.0,-2e-09,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169850>
NC(=O)NO,1.0,-2e-09,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1698c0>
O=P1(NCCCl)OCCCN1CCCl,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169930>
CN(C)C(=N)NC(=N)N,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1699a0>
CN(C)C(=O)Oc1ccc[n+](C)c1,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169a10>
CN[C@@H](C)[C@@H](O)c1ccccc1,1.0,-2e-09,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169a80>
C=CC(=O)NCNC(=O)C=C,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169af0>
CCOCCOCCOCCO,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169b60>
C[C@@H]1O[C@@H]1P(=O)(O)O,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169c40>
O=C1NC2C=CC(Cl)=CC=2C(C#CC2=CC=CC=N2)(N1)C1CC1,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169cb0>
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,1.0,-2e-09,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169d20>
OCCN1C(=O)C(N=C(c2cc3c([nH]2)c(c(s3)Cl)Cl)O)Cc2c1cccc2,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169e00>
CSCCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169e70>
O=C1C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c(N1C)cccc2,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169ee0>
O=C(NC1CN2CCC1CC2)C1C=CC2OCCOC=2C=1,1.0,-2e-09,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd169f50>
COC(=O)CCC(=O)OC,0.999942975,-2.48e-05,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a030>
CCC(=O)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.999,-0.000434512,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a110>
OC[C@@H](CN1C(=O)C(N=C(c2cc3c([nH]2)c(c(s3)Cl)Cl)O)Cc2c1cccc2)O,0.999,-0.000434512,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a180>
OCCN1C(=O)C(N=C(c2cc3c([nH]2)ccc(c3)Cl)O)Cc2c1cccc2,0.999,-0.000434512,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a1f0>
