smiles,LogD,scaffold
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)N2CCN(c3ccccc3)CC2)CC1,2.67,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e8f90>
O=c1cc(N2CCOCC2)oc2cc(O)ccc12,1.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9000>
C[C@H]1O[C@@H](n2cnc3c(N)nc(OC4CC5CC5C4)nc32)[C@H](O)[C@@H]1O,1.66,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9070>
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1.99,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e90e0>
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,3.07,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9150>
CCc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,2.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e91c0>
Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,3.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9230>
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1)C1CCCCC1,2.12,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9310>
COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,2.7,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9380>
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,2.63,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e93f0>
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(F)cc4)c23)cc1,4.28,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e94d0>
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4cccnn34)n2)cc1,2.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e95b0>
CN(C)CCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4cccnn34)n2)cc1,1.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9620>
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NCc3ccccc3)cnn2-c2ccccc2)cc1,1.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9700>
CCOc1ccccc1CNCc1cccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)c1,1.13,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e97e0>
COc1cccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)sc34)c2)c1,0.91,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9850>
COc1ccccc1CN(C)Cc1cccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)c1,1.52,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e98c0>
COc1ccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)sc34)c2)cc1,0.86,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e99a0>
O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCc4ccccc4F)c3)c2s1,0.69,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9a10>
O=C(Nc1ccc(N2CCOCC2)cn1)c1nnc(Nc2ccccc2F)o1,2.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9a80>
O=C(Oc1ccccc1O)c1cccc2ccccc12,4.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9af0>
Nc1nc(N)nc(-c2ccc(Cl)cc2)n1,2.12,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9b60>
CSc1nc(N)nc(-c2ccccc2)n1,2.98,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9bd0>
O=[N+]([O-])c1ccc(C=NO)o1,1.31,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9d20>
COc1ccc(NC(=O)c2ccnc(N)n2)cc1,1.72,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9e00>
Cc1ccc(CNC(=O)C2CCCN2S(=O)(=O)c2ccc(F)cc2)cc1,2.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9e70>
C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccc(S(C)(=O)=O)cn2)cn1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9ee0>
CC(C)C(NC(=O)Cn1c(-c2cccs2)ncc(N)c1=O)C(=O)C(F)(F)F,0.68,<rdkit.Chem.rdchem.Mol object at 0x7f06b41e9fc0>
O=C(N[C@@H](Cc1ccc(OCCNc2nc3ccccc3[nH]2)cc1)C(=O)O)c1c(Cl)cccc1Cl,0.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea0a0>
Cc1cc2n[nH]c(=O)n2c2cc(-c3ccncc3)ccc12,2.29,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea110>
CC(C)COc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea180>
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea1f0>
O=C(CN1CCOCC1)Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1O,2.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea260>
COc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,2.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea2d0>
CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,2.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea340>
Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,1.51,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea490>
Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12,3.89,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea570>
N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCCCC1,0.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea5e0>
Nc1nc2ccccc2n1C(=O)c1ccccc1,1.56,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea650>
NC1=NN(c2cccc(C(F)(F)F)c2)CC1,2.55,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea6c0>
Fc1ccc(C2CCN(C(=S)COCc3ccncc3)CC2)c(Cl)c1,4.23,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea730>
CC1(C)CC(=O)c2c(nc3ccccc3c2N)C1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea7a0>
CC(C)(C)OC(=O)N1CCC(OCc2nc(-c3ccncc3)no2)CC1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea810>
Cc1c(Cl)ccc(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)c1Cl,3.15,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea880>
O=C(O)[C@H](Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)cc3)CC2)CC1,1.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea8f0>
