smiles,Caco2Papp,scaffold
CCC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,-5.2198415,<rdkit.Chem.rdchem.Mol object at 0x7fb386e77d80>
C[C@H](NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@H](CO)C(=O)O,-6.2819986,<rdkit.Chem.rdchem.Mol object at 0x7fb386e77d10>
CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,-5.140131,<rdkit.Chem.rdchem.Mol object at 0x7fb386e77df0>
CC(=O)N[C@@H](Cc1ccccc1)C(N)=O,-5.10009,<rdkit.Chem.rdchem.Mol object at 0x7fb386e77e60>
O=C(O)c1ccccc1,-4.0050001,<rdkit.Chem.rdchem.Mol object at 0x7fb386e77ed0>
COC(=O)c1ccc(O)cc1,-4.46,<rdkit.Chem.rdchem.Mol object at 0x7fb386e77f40>
CCCCOC(=O)c1ccc(O)cc1,-4.4899998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c880b0>
CCCCCCCCOC(=O)c1ccc(O)cc1,-4.8800001,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88120>
NC(N)=NN=Cc1c(Cl)cccc1Cl,-4.3299999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88190>
C[C@@](N)(Cc1ccc(O)c(O)c1)C(=O)O,-6.619894,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88200>
O=C(O)c1cc(Cl)ccc1O,-4.98,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88270>
CNC[C@H](O)c1ccc(O)c(O)c1,-6.125,<rdkit.Chem.rdchem.Mol object at 0x7fb386c882e0>
CC(=O)NCC(=O)NCCc1ccccc1,-4.6597776,<rdkit.Chem.rdchem.Mol object at 0x7fb386c883c0>
CC(=O)N[C@@H](C(=O)NCCc1ccccc1)C(C)C,-4.4610906,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88430>
CC(=O)C(NC(=O)CN)c1ccc(O)cc1,-5.2800002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c884a0>
NC(N)=N/N=C/c1c(Cl)cccc1Cl,-4.6799998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88510>
CNS(=O)(=O)c1ccc(Cl)cc1,-4.186419,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88580>
NS(=O)(=O)c1ccc(Cl)cc1,-4.2620125,<rdkit.Chem.rdchem.Mol object at 0x7fb386c885f0>
O=C(O)C(O)Cc1ccc(O)c(O)c1,-5.9118199,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88660>
COCCc1ccc(OCC(O)CNC(C)C)cc1,-4.3493013,<rdkit.Chem.rdchem.Mol object at 0x7fb386c886d0>
CN(C)c1ccc(C(=O)NCCCCCNC(=O)CS)cc1,-5.1324477,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88740>
O=C(CCCCCCC(=O)Nc1ccccc1)NO,-5.6294661,<rdkit.Chem.rdchem.Mol object at 0x7fb386c887b0>
Nc1ccc(S(=O)(=O)O)cc1,-5.4299998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88820>
CCOP(=O)(OCC)Oc1ccc(N(O)O)cc1,-4.6900001,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88890>
C=C(C)CNc1ccc(C(C)C(=O)O)cc1,-4.3400002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88900>
CC(NC(=O)[C@@H](N)CCC(=O)OCc1ccccc1)C(=O)O,-5.6912522,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88970>
CC(NC(=O)[C@@H](N)COCc1ccccc1)C(=O)O,-5.9906998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88ac0>
CC(=O)N[C@H](CC(C)C)C(=O)NCCc1ccccc1,-4.5132465,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88ba0>
CN[C@@H](C)[C@@H](O)c1ccccc1,-4.9913998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88c10>
C[C@H](N)Cc1ccccc1,-4.3899999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88c80>
CC(=O)NC(O)CNc1ccc(C(C)=O)cc1,-5.2199998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88cf0>
CCOC(=O)c1ccc(O)cc1,-4.8102908,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88d60>
COC(=O)c1cc(O)c(O)c(O)c1,-5.3899999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88dd0>
CNCC(O)c1ccc(O)c(O)c1,-6.0188646,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88e40>
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC/C=C/c1ccc(OC)c(OC)c1,-4.8498521,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88eb0>
CCCCCCCC/C=C\CCCCCCCC(=O)OCC/C=C/c1ccc(OC)c(OC)c1,-5.0101638,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88f20>
COc1ccc(/C=C/CCO)cc1OC,-4.8428431,<rdkit.Chem.rdchem.Mol object at 0x7fb386c88f90>
C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)NCCS(=O)(=O)O)c(CCC(=O)NCCS(=O)(=O)O)c2C)NC1=O,-6.0594678,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89150>
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,-5.3699999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c891c0>
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,-5.0582528,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89230>
COc1ccc2c(O[C@@H]3CC4C(=O)N[C@]5(C(=O)O)C[C@@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1,-5.6599998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c892a0>
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,-5.0100002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89310>
C[C@@H]1O[C@@H](c2ccc(Cl)cc2)OC[C@H]1NC(=O)Cc1ccccc1,-4.9920392,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89460>
Nc1nc(=O)c2ncn([C@@H]3C[C@H](CO)[C@H]3CO)c2[nH]1,-6.0555172,<rdkit.Chem.rdchem.Mol object at 0x7fb386c894d0>
Cn1cncc1CN(CCN(Cc1ccccc1)S(=O)(=O)c1ccccn1)c1ccc(C#N)cc1,-5.5514212,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89540>
NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,-4.3103647,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89620>
