smiles,pKa,pKaAcidic_train_test,scaffold
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,-4.37,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b140>
Cc1ccccc1C(=O)N1CC/C(=N\OS(=O)(=O)O)c2ccc(Cl)cc21,-4.3,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b1b0>
Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,-4.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b220>
O=P([O-])([N+]1(CCCl)CC1)[N+]1(CCCl)CC1,-4.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b290>
Cc1c(S(=O)(=O)[O-])oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,-3.91,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b300>
Cc1cc(-c2ccc(/N=N/c3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1/N=N/c1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O,-3.9,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b370>
CCOc1ccc(S(=O)(=O)O)c2cccnc12,-3.76,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b3e0>
CCOc1ccc(S(=O)(=O)[O-])c2cccnc12,-3.76,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b450>
O=S(=O)(O)c1cc(O)c(S(=O)(=O)O)cc1O,-3.47,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b530>
O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,-3.44,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b5a0>
O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21,-3.44,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b610>
O=S(=O)(O)c1ccc2c(/N=N/c3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,-3.35,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b680>
O=S(=O)([O-])c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1,-3.24,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b6f0>
Nc1cc(N2CCCCC2)nc(N)[n+]1OS(=O)(=O)[O-],-3.04,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b840>
O=S(=O)(O)c1cc(S(=O)(=O)O)c2nc(-c3ccc(-c4nc5c(S(=O)(=O)O)cc(S(=O)(=O)O)cc5[nH]4)cc3)[nH]c2c1,-2.88,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b920>
O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1,-2.88,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486b990>
O=S(=O)([O-])c1cc(S(=O)(=O)O)cc2[nH]c(-c3ccc(-c4nc5c(S(=O)(=O)[O-])cc(S(=O)(=O)O)cc5[nH]4)cc3)nc12,-2.88,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486ba00>
CC(C)(C)[N+]([O-])=Cc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O,-2.87,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486ba70>
CC(C)(C)/[N+]([O-])=C/c1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-].[Na+].[Na+],-2.87,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486bae0>
CCNCC.O=S(=O)(O)c1cc(O)ccc1O,-2.78,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486bbc0>
O=S(=O)(O)c1cc(O)ccc1O,-2.78,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486bc30>
Cc1ccc(S(=O)(=O)Oc2ccc(O)c(S(=O)(=O)O)c2)cc1,-2.78,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486bca0>
Cc1cc(O)c(S(=O)(=O)O)cc1Cc1cc(S(=O)(=O)O)c(O)cc1C,-2.76,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486bd10>
O=S([O-])S(=O)(=O)[O-],-2.72,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486bd80>
COc1cc(S(=O)(=O)O)ccc1O,-2.58,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf486bf40>
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)c1cccc(S(=O)(=O)[O-])c1,-2.52,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c0b0>
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)c1cccc(S(=O)(=O)O)c1,-2.52,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c120>
CC1=C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2C[C@@H](C)[C@]3(O)C(=O)COC(=O)c2cccc(S(=O)(=O)O)c2)[C@@]2(C)Cc3cnn(-c4ccccc4)c3C=C12,-2.52,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c190>
Cc1cc(OS(=O)(=O)[O-])c2ccccc2c1OS(=O)(=O)[O-],-2.51,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c270>
CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1,-2.51,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c2e0>
O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1,-2.49,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c350>
O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,-2.49,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c3c0>
COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O,-2.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c430>
Cc1cccc2c1NC(=O)C2(c1ccc(OS(=O)(=O)O)cc1)c1ccc(OS(=O)(=O)O)cc1,-2.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c4a0>
NC1=N[C@H](c2nnc([C@@H]3CC4(CC4)[C@@H]4CN3C(=O)N4OS(=O)(=O)O)o2)CN1,-2.33,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c580>
CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1,-2.26,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c5f0>
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-2.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c6d0>
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,-1.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c740>
O=S(=O)(O)CCCS(=O)(=O)O,-1.97,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c820>
O=S(=O)([O-])CCCS(=O)(=O)[O-],-1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c890>
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,-1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c900>
O=C(NNC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O)[C@@H]1CCCNC1,-1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c970>
O=S(=O)(O)C(I)I,-1.95,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487c9e0>
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](OS(=O)(=O)O)C[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-1.95,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ca50>
CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,-1.94,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cac0>
CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)[O-])[C@@H]1C(N)=O,-1.94,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cb30>
CCCC[C@]1(CC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2cccc(NC(=O)N[C@@H]3O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3O)c2)[C@H]1O,-1.89,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cba0>
CCCC[C@]1(CC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2cccc(NC(=O)N[C@@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](OCc4ccccc4)[C@H]3O)c2)[C@H]1O,-1.89,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cc10>
O=S(=O)(c1ccc(NC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)S(=O)(=O)O)cc1)c1ccc(NC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)S(=O)(=O)O)cc1,-1.85,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cc80>
COc1ccc(NS(=O)(=O)c2ccc(NC(c3c(C)n(C)n(-c4ccccc4)c3=O)S(=O)(=O)O)cc2)nn1,-1.84,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ccf0>
O=S(=O)([O-])CI,-1.81,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cdd0>
CC(C)(CS(=O)(=O)O)N(Cl)Cl,-1.78,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ceb0>
CC(C)(CS(=O)(=O)[O-])N(Cl)Cl,-1.78,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cf20>
O=S(=O)([O-])CCSSCCS(=O)(=O)[O-],-1.76,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487cf90>
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,-1.75,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d070>
Cc1ccc(N2CCNCC2)c(S(=O)(=O)O)c1,-1.72,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d150>
O=C([O-])C1=C(C[n+]2ccc(CCS(=O)(=O)[O-])cc2)CS[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3nc[nH]c3C(=O)O)c3ccccc3)C(=O)N12,-1.63,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d1c0>
CCCSc1ccc([N+](=O)[O-])c(N/C(=N/CCS(=O)(=O)O)NC(=O)OC)c1,-1.62,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d230>
NS(=O)(=O)c1ccc(NCS(=O)(=O)O)cc1,-1.62,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d2a0>
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-1.61,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d310>
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C,-1.61,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d380>
CCCCCOS(=O)(=O)O,-1.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d3f0>
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-1.52,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d540>
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O.NCCCC[C@H](N)C(=O)O,-1.52,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d5b0>
NCCS(=O)(=O)O,-1.49,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d620>
Nc1nc(/C(=N/OC2(C(=O)O)CC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CN2CCOC2=O)cs1,-1.48,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d700>
CC1(S(=O)(=O)O)CC(=O)c2ccccc2C1=O,-1.47,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d770>
