smiles,pKb,pKaBasic_train_test,scaffold
O=[N+]([O-])c1nccn1CC(O)C[18F],0.0,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de490>
COCC(O)Cn1ccnc1[N+](=O)[O-],0.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de500>
O=P1(N(CCCl)CCCl)NC(OO)CCO1,0.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de570>
CS(=O)(=O)OCCNP1(=O)OCCCN1CCCl,0.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de5e0>
O=[N+]([O-])c1nccn1CC(O)CF,0.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de650>
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)CCC(=O)O)CC3)cc21,0.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de6c0>
O=P1(N(CCCl)CCCl)NC(O)CCO1,0.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de730>
O=P1(N(CCCl)CCCl)NCCCO1,0.02,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de7a0>
COc1cc(C(Nc2ccc(S(N)(=O)=O)cc2)Nc2ccc(S(N)(=O)=O)cc2)ccc1O,0.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de880>
O=C(O)c1ccc[n+]([O-])c1,0.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de8f0>
Cc1cc(C2=NO[C@@](c3cc(Cl)c(Cl)c(Cl)c3)(C(F)(F)F)C2)sc1C(=O)NCC(=O)NCC(F)(F)F,0.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de960>
O=[N+]([O-])c1nccn1COC(CO)C(O)CO,0.04,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94de9d0>
NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,0.04,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dea40>
CCOC(=O)c1ccc(N(CC(C)O)CC(C)O)cc1,0.06,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94deb90>
CC[N+](C)(C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OCF)c3nsc(N)n3)[C@H]2SC1)CC(N)=O,0.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dec70>
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)C2CCC3C2)c1,0.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94ded50>
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,0.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dedc0>
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCC3)c1,0.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dee30>
CC(C(=O)O)c1ccc(Oc2nccs2)cc1,0.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94def10>
CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,0.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94def80>
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,0.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94deff0>
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,0.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df060>
COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,0.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df0d0>
CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C(c2ccccc2)c2ccccc21,0.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df1b0>
CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cccc3)cc21,0.11,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df290>
C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,0.12,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df370>
COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,0.13,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df3e0>
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1,0.15,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df450>
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,0.16,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df530>
Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)[O-])N4C(=O)[C@@H](NC(=O)/C(=N/O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1,0.17,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df5a0>
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,0.18,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df610>
COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,0.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df6f0>
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,0.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df760>
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0.2,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df8b0>
Nc1nc2c(ncn2/C=C2/CC2(CO)CO)c(=O)[nH]1,0.2,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df920>
CCc1nc2ccccc2c(=O)n1-c1c(Cl)cccc1Cl,0.21,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94df990>
CC1(C)S[C@@H]2[C@H](NC(=O)c3nc4ccccc4nc3C(=O)O)C(=O)N2[C@H]1C(=O)O,0.21,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfa00>
CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,0.22,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfb50>
CCN(CC)C(=O)[C@@H]1[C@@H](C(=O)N(CC)CC)[C@H]2C=C[C@@H]1C2,0.22,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfbc0>
O=P(NCCCO)(OCCCl)N(CCCl)CCCl,0.23,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfc30>
O=C(NCCc1ccc(O)c(O)c1)C12CC3CC(CC(C3)C1)C2,0.23,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfca0>
Cc1c(-c2cnccn2)ssc1=S,0.23,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfd10>
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)[C@H]3SC2)s1,0.24,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfd80>
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,0.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfdf0>
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfe60>
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,0.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dfed0>
C[C@@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)CC[C@H]1O,0.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94dff40>
COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,0.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8040>
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0.25,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8120>
Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,0.26,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8200>
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,0.26,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8270>
O=C(N/N=C/C=C/c1ccc([N+](=O)[O-])o1)c1ccc([N+](=O)[O-])s1,0.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f82e0>
C[C@]12CC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CCOC3=O)CC[C@]12O,0.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f83c0>
CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,0.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8430>
COc1cc(S(C)(=O)=O)ccc1Nc1nc2ccc(-c3ccc(NC(=O)[C@H](C)c4ccc(F)cc4)cc3)cn2n1,0.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f84a0>
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.28,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8510>
C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc2nc(Br)cnc2c1,0.28,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8580>
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1,0.29,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8660>
N#Cc1ccc(/C=N/NC(N)=S)s1,0.29,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f86d0>
C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,0.3,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8740>
COc1ccc2[nH]c(-c3cccc(F)c3)cc(=O)c2c1OP(=O)(O)O,0.3,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8890>
CCOC(=O)Cn1nc(C(F)(F)F)cc1-c1ccc(-c2cccc(S(C)(=O)=O)c2)cc1,0.31,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8900>
O=C(O)c1cn(C2CC2)c2cc(N3CCC(O)(COc4ccc(N5C[C@H](CO)OC5=O)cc4F)CC3)c(F)cc2c1=O,0.31,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8970>
C[C@@]1(F)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,0.31,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8a50>
CCOC(=O)NP(=O)(N1CC1)N1CC1,0.32,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8ac0>
O=C(NP(=O)(N1CC1)N1CC1)OCc1ccccc1,0.32,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8b30>
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0.32,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8c10>
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0.33,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8d60>
CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,0.34,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8e40>
Nc1nc2c(ncn2COCCOP(=O)(O)OP(=O)(O)OP(=O)(O)O)c(=O)[nH]1,0.34,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8eb0>
CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1,0.35,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f8f90>
CCN(c1nncs1)P(=O)(N1CC1)N1CC1,0.36,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9000>
CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,0.36,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9070>
CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(N)n1,0.36,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f90e0>
CC(=O)N1CCc2c(C(=O)N3CCC(c4ccc(F)c(F)c4C(F)(F)F)CC3)n[nH]c2C1,0.38,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9230>
Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12,0.39,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f92a0>
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,0.39,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9310>
O=C(O)c1cnccn1,0.39,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9380>
Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12,0.39,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9460>
CCOC(=O)c1cnc2n(c1=O)C(C)CCC2CC(=O)O,0.4,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f94d0>
CC(C)n1cc(C#N)c2cc(-n3cc(C(=O)O)cn3)ccc21,0.4,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f95b0>
CC(=O)/N=c1/sccn1CC(O)c1cccs1,0.41,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9620>
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,0.42,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9690>
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,0.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9700>
CC(=O)Nc1cnn2c(C)nc3ccccc3c12,0.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9770>
C[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f97e0>
CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,0.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9850>
N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,0.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f98c0>
Cc1ccccc1/N=N/c1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1,0.43,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9930>
CC[C@H](NC(=O)c1c(NS(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0.43,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f99a0>
C=C1[C@H](OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,0.44,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9af0>
CCOCn1cc(F)c(=O)n(C(=O)c2cccc(C(=O)Oc3nc(OC(=O)c4ccccc4)ccc3C#N)c2)c1=O,0.44,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9bd0>
COc1ccc(S(=O)(=O)Nc2nnc(CC(C)C)s2)cc1,0.44,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9c40>
CC[C@H](C)[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)N1CCOCC1)c1coc(C)n1,0.44,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9cb0>
Nc1ncn([C@H]2C[C@H](OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)C[C@@H]3O)[C@@H](CO)O2)c(=O)n1,0.44,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9d20>
Nc1ncn([C@H]2C[C@H](OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)C[C@@H]3O)[C@@H](CO)O2)c(=O)n1,0.44,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9d90>
CC(C)(C)n1nnc2c3c(ccc21)C1=CC(=O)CC[C@@]1(CCOc1ccccc1)C3,0.45,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9e00>
Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,0.45,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9e70>
CCCCc1nnc(NS(=O)(=O)c2ccc(Cl)cc2)s1,0.46,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9f50>
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)Nc3cnc(Nc4ccc(S(N)(=O)=O)cc4)nc3O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.46,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94f9fc0>
C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,0.46,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa0a0>
CCc1noc(CC)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,0.46,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa110>
COCCOCCOCCOc1cccc(C2=N[C@@](C)(C(=O)O)CS2)c1O,0.46,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa180>
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0.47,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa1f0>
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0.47,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa260>
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,0.48,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa2d0>
COCOC[C@H](CCC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)O,0.48,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa340>
Cc1c(NCc2c(C(C)C)c(=O)n(-c3ccccc3)n2C)c(=O)n(-c2ccccc2)n1C,0.48,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa3b0>
CCOCc1ccc(C)c(Nc2ncc(-c3ccc(N4CCNC4=O)cc3)o2)c1,0.48,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa490>
Cc1cc(=O)n(-c2ccccc2)n1C,0.49,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa500>
C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12,0.49,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa570>
C[C@]1(C(=O)O)CSC(c2ccc(O)cc2O)=N1,0.49,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa5e0>
Cc1cnn(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0.51,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa6c0>
Fc1ccc(-c2c3cccc(C(F)(F)F)c3nn2Cc2ccc(F)cc2Cl)cc1,0.51,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa730>
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(=O)[nH]cnc21,0.52,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa7a0>
COCCNC(=O)c1ccnc(C(=O)NCCOC)c1,0.53,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa810>
COCCOCCOc1ccc(C2=N[C@@](C)(C(=O)O)CS2)c(O)c1,0.53,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa880>
COCCCNC(=O)c1ccnc(C(=O)NCCCOC)c1,0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fa8f0>
Nc1nc2c(ncn2CC[C@@H](O)CO)c(=O)[nH]1,0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94faa40>
Nc1nc2c(ncn2C[C@H](CO)CCO)c(=O)[nH]1,0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94faab0>
Nc1nc2c(ncn2CC(CO)CO)c(=O)[nH]1,0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fab20>
